district_id,state_name,district_name,season_label,season_start_year,season_end_year,area_ha,production_tonnes,yield_ton_per_ha,yield_kg_per_ha,crop,season,source,source_file,proxy_filled,proxy_source_district,proxy_overlap_years,proxy_selection_rmse,proxy_selection_mae
IND013007,Haryana,Hissar,2021 - 2022,2021,2022,206860.0,960660.0,4.64,4640.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013007,Haryana,Hissar,2022 - 2023,2022,2023,208130.0,1038630.0,4.99,4990.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2010 - 2011,2010,2011,100978.0,455000.0,4.51,4510.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2011 - 2012,2011,2012,98419.0,481000.0,4.89,4890.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2012 - 2013,2012,2013,95856.0,377000.0,3.93,3930.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2013 - 2014,2013,2014,98000.0,442000.0,4.51,4510.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2014 - 2015,2014,2015,114000.0,421000.0,3.69,3690.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2015 - 2016,2015,2016,111000.0,430000.0,3.87,3870.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2016 - 2017,2016,2017,93000.0,473000.0,5.09,5090.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2017 - 2018,2017,2018,106200.0,494300.0,4.65,4650.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2018 - 2019,2018,2019,105200.0,501000.0,4.76,4760.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
IND013008,Haryana,Jhajjar,2019 - 2020,2019,2020,106600.0,512600.0,4.81,4810.0,Wheat,Rabi,DES APY Query Report,/Users/aaryan/Downloads/ugp/expansion_2010_workspace/data/yields/des_apy_wheat_rabi_2010_2022.html,False,,,,
